rownum,id,author,author-aux,author-orcid,booktitle,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,key,mdate,month,note,note-type,number,pages,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,chair,conference_keywords,conference_type,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,proceedings_keywords
0,555,Arnon Rosenthal,,,SWEE,,,,conf/swee/1998,,,http://www.mitre.org/support/swee/rosenthal.html,,,www/org/mitre/future,2019-07-30,,,,,,,,,The Future of Classic Data Administration: Objects + Databases + CASE,,,db/conf/swee/swee1998.html,,1998,Lisa M. Rasmussen|Fern Wickson,Nicole Krämer 0002|Mladen Petrovecki|Jan Saputra Müller,Cryptography|Cybersecurity|Computer graphics,Expert Group,Jan Saputra Müller,Computational complexity|Big data,accept,Labore quaerat voluptatem amet numquam voluptatem.,reject,Numquam sed dolorem amet non dolorem.,Poster,Machine learning|Data mining|Deep learning|Computer graphics
1,571,E. F. Codd,,,IFIP Working Conference Data Base Management,DS/DS1974/P179.pdf,,,conf/ds/1974,,,,,,persons/Codd74,2019-08-02,January,"IBM Research Report RJ 1333, San Jose, California",,,179-200,,,,Seven Steps to Rendezvous with the Casual User.,,,db/conf/ds/dbm74.html#Codd74,,1974,Rustam Mubarakzjanov|Petra Scheffler,Kitsuchart Pasupa|Margaret Satterthwaite|Moninder Singh,Distributed computing|Computational complexity|Artificial intelligence,Symposium,Moninder Singh,Machine learning|Information theory|Big data,accept,Quiquia amet quiquia quiquia etincidunt dolorem neque est.,reject,Ut dolorem consectetur sit.,Demo Paper,Cryptography|Computer networks|Information theory|Deep learning|Cloud computing
2,159845,Sven Lorenz|Toni Bollinger|Udo Pletat,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_72,,,journals/lncs/BollingerLP91,2017-05-20,,,,,402-427,,,,The LILOG Inference Engine.,,,db/journals/lncs/lncs546.html#BollingerLP91,,1991,Katherine A. Austin|William T. Lynch,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Junsong Yuan,Computer graphics|Cybersecurity,reject,Aliquam adipisci ipsum adipisci adipisci.,accept,Adipisci ipsum numquam quisquam quisquam porro voluptatem.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
3,159846,Geoffrey Simmons|Kai-Uwe Carstensen,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_83,,,journals/lncs/CarstensenS91,2017-05-20,,,,,632-644,,,,Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.,,,db/journals/lncs/lncs546.html#CarstensenS91,,1991,Avan N. Antia|Mark C. Wallace,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,Cybersecurity|Algorithm analysis,reject,Eius ut non tempora dolore dolor porro ipsum.,accept,Voluptatem porro quiquia numquam quaerat quisquam adipisci.,Poster,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
4,159847,David W. Flater|Yelena Yesha,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_13,,,journals/lncs/FlaterY93,2017-05-20,,,,,259-276,,,,Towards Flexible Distributed Information Retrieval.,,,db/journals/lncs/lncs759.html#FlaterY93,,1993,Anna Bernasconi 0001|Ayanna M. Howard,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Katherine A. Austin,Information theory|Computer graphics|Deep learning,accept,Ut amet adipisci neque etincidunt.,accept,Neque quisquam porro modi numquam quisquam sed.,Short Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
5,159848,Claus-Rainer Rollinger|Otthein Herzog,,0000-0003-4781-2551,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_46,,,journals/lncs/RollingerH91,2017-06-06,,,,,3-13,,,,Introducing LILOG.,,,db/journals/lncs/lncs546.html#RollingerH91,,1991,Jose A. García 0001|Michele Farisco,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Sreangsu Acharyya,Artificial intelligence|Robotics,accept,Ut velit magnam ut non.,reject,Aliquam numquam est est velit quiquia.,Short Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
6,159849,Bharat K. Bhargava|Jagannathan Srinivasan|Prasun Dewan|Yin-he Jiang,,,Advanced Database Systems,,,,journals/lncs/1993-759,,,https://doi.org/10.1007/3-540-57507-3_5,,,journals/lncs/BhargavaJSD93,2017-05-20,,,,,87-103,,,,Transition From A Relation To Object Model Implementation.,,,db/journals/lncs/lncs759.html#BhargavaJSD93,,1993,Hans-Joachim Goltz|Slawomir Letkiewicz,Boaz Nadler|Manfred Georg|Katherine A. Austin,Computer graphics|Human-computer interaction|Computer vision|Natural language processing,Symposium,Katherine A. Austin,Cloud computing|Computer networks|Information theory,reject,Voluptatem dolorem tempora ut consectetur velit magnam velit.,accept,Est sed non dolore non eius magnam quaerat.,Demo Paper,Artificial intelligence|High-performance computing|Distributed computing|Natural language processing|Computer graphics
7,159851,Ingo Raasch|Jochen Dörre,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_51,,,journals/lncs/DorreR91,2017-05-20,,,,,55-62,,,,The STUF Workbench.,,,db/journals/lncs/lncs546.html#DorreR91,,1991,Laurens Landeweerd|Ronnie Hawkins,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Sreangsu Acharyya,Cybersecurity,accept,Quisquam ipsum quaerat modi ut velit quisquam porro.,accept,Quisquam dolor adipisci porro dolorem labore ut.,Short Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
8,159852,Werner Emde,,,Text Understanding in LILOG,,,,journals/lncs/1991-546,,,https://doi.org/10.1007/3-540-54594-8_60,,,journals/lncs/Emde91,2017-05-20,,,,,167-179,,,,Managing Lexical Knowledge in LEU/2.,,,db/journals/lncs/lncs546.html#Emde91,,1991,Jeff Collmann|India C. Plough,David H. Stern|Junsong Yuan|Brendan J. Frey|Sreangsu Acharyya,Cybersecurity|Robotics|Natural language processing|Deep learning,Workshop,Brendan J. Frey,Machine learning|High-performance computing,accept,Quiquia dolorem aliquam dolorem est.,accept,Ipsum est labore etincidunt dolor quiquia magnam numquam.,Demo Paper,Quantum computing|Data mining|High-performance computing|Robotics|Information theory
9,159853,Olivier Ridoux,,,Constraint Programming,,,,journals/lncs/1994-910,,,https://doi.org/10.1007/3-540-59155-9_12,,,journals/lncs/Ridoux94,2017-05-20,,,,,209-230,,,,"Imagining CLP(A, equiv alpha beta)",,,db/journals/lncs/lncs910.html#Ridoux94,,1994,Kristin Berry|Volker Schmidt,Horst Schmitt|Philip M. Long|Jeffrey T. Mason|George R. Hoffmann,Cryptography|Deep learning|Human-computer interaction|High-performance computing,Regular,Philip M. Long,Computer networks,reject,Porro ipsum dolorem consectetur dolor non ipsum magnam.,accept,Aliquam amet numquam dolorem est tempora.,Demo Paper,Algorithm analysis|Distributed computing|Machine learning|Human-computer interaction
