rownum,id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,editors,journal_keywords,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,volume_keywords
0,0,Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom,,,,,,,,,,,https://spectreattack.com/spectre.pdf,oa,,meltdownattack.com,tr/meltdown/s18,2020-06-25,,,,,,,,,informal,,,Spectre Attacks: Exploiting Speculative Execution.,,,,meltdownattack.com 1,2018,Alastair J. D. Macdonald|William M. Bulleit,Ilse Oosterlaken|Hong Chen|Ralph Scheubrein|David Barber|Frank Manola,Computer graphics|Deep learning|Cloud computing|High-performance computing|Computational complexity,Hong Chen,Computer vision|Deep learning|Distributed computing|Data mining,accept,Sed voluptatem labore ipsum adipisci sit dolor.,accept,Sed labore ut dolorem ut.,Short Paper,High-performance computing|Distributed computing|Data mining
1,1,Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom,,,,,,,,,,,https://meltdownattack.com/meltdown.pdf,oa,,meltdownattack.com,tr/meltdown/m18,2020-06-25,,,,,,,,,informal,,,Meltdown,,,,meltdownattack.com 1,2018,Michael Davis 0002|Indira Nair,Ilse Oosterlaken|Hong Chen|Ralph Scheubrein|David Barber|Frank Manola,Computer graphics|Deep learning|Cloud computing|High-performance computing|Computational complexity,Frank Manola,Deep learning|Quantum computing|Robotics,accept,Quaerat quaerat porro aliquam dolor dolor.,accept,Magnam amet velit amet ipsum ipsum.,Demo Paper,High-performance computing|Distributed computing|Data mining
2,3,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0263-08-94-165,2019-10-25,August,,,,,,,,informal,,,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,,,db/journals/gtelab/index.html#TR-0263-08-94-165,GTE Laboratories Incorporated TR-0263-08-94-165,1994,Jeff Collmann|David M. Shaw,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,Human-computer interaction|Computer vision|Cryptography,accept,Consectetur tempora non dolor.,reject,Modi neque ipsum magnam magnam sed.,Full Paper,Cloud computing|Machine learning|Quantum computing|Natural language processing
3,4,Michael L. Brodie|Michael Stonebraker,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0222-10-92-165,2019-10-25,March,"This report is also available as a Technical Memorandum of Electronics Research Laboratory, College of Engineering, University of California, Berkeley.",,,,,,,informal,,,DARWIN: On the Incremental Migration of Legacy Information Systems,,,db/journals/gtelab/index.html#TR-0222-10-92-165,GTE Laboratories Incorporated TR-0222-10-92-165,1993,Alejandra Boni|Domagoj Markovic,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,Natural language processing|Computer networks|Quantum computing,reject,Numquam dolor dolore ipsum.,accept,Numquam non quisquam velit dolor non modi.,Demo Paper,Computer vision|Big data|Cloud computing|Machine learning
4,5,Farshad Nayeri|Joe D. Morrison|Mark F. Hornick,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0174-12-91-165,2019-10-25,December,,,,,,,,informal,,,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",,,db/journals/gtelab/index.html#TR-0174-12-91-165,GTE Laboratories Incorporated TR-0174-12-91-165,1991,Paul Kocher|Giovanni M. Pes,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,Natural language processing|Deep learning|Human-computer interaction|Distributed computing,accept,Dolor modi magnam consectetur neque.,reject,Adipisci porro neque etincidunt velit non.,Full Paper,Natural language processing|Computer networks|Computational complexity|Information theory|Distributed computing
5,6,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0149-06-89-165,2019-10-25,June,,,,,,,,informal,,,Object Model Capabilities For Distributed Object Management.,,,db/journals/gtelab/index.html#TM-0149-06-89-165,GTE Laboratories Incorporated TM-0149-06-89-165,1989,Melissa S. Anderson|Stefan Börner,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Andreas Köhler,Computer vision|Information theory|Machine learning|Cloud computing,reject,Consectetur dolorem amet ipsum numquam.,reject,Voluptatem quaerat etincidunt porro amet aliquam.,Full Paper,Information theory|High-performance computing|Deep learning|Computer networks
6,7,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0310-11-95-165,2019-10-25,November,,,,,,,,informal,,,Integrating Object-Oriented Applications and Middleware with Relational Databases.,,,db/journals/gtelab/index.html#TR-0310-11-95-165,GTE Laboratories Incorporated TR-0310-11-95-165,1995,Hubertus Th. Jongen|Gardar Arnason,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Anthony J. Hayter,Human-computer interaction|Computer networks|Distributed computing|Cloud computing,accept,Dolorem est aliquam magnam aliquam quiquia modi.,reject,Consectetur neque voluptatem eius ut labore neque.,Demo Paper,Computer networks|Distributed computing|Computational complexity|Cryptography|Machine learning
7,8,Alejandro P. Buchmann|Dimitrios Georgakopoulos|M. Tamer Özsu,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0146-06-91-165,2019-10-25,June,,,,,,,,informal,,,Towards a Transaction Management System for DOM.,,,db/journals/gtelab/index.html#TR-0146-06-91-165,GTE Laboratories Incorporated TR-0146-06-91-165,1991,Russell George Thompson|Richard Meissner,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Anthony J. Hayter,Machine learning|Data mining|Natural language processing|Big data,accept,Numquam est velit ut.,reject,Adipisci etincidunt porro adipisci quisquam porro.,Short Paper,Computer networks|Artificial intelligence|Distributed computing|Computational complexity|Quantum computing
8,9,Frank Manola|Sandra Heiler,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0231-08-93-165,2019-10-25,August,,,,,,,,informal,,,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,,,db/journals/gtelab/index.html#TR-0231-08-93-165,GTE Laboratories Incorporated TR-0231-08-93-165,1993,Jeffrey Kovac|Jean-Pierre Béland,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Raquel Urtasun,High-performance computing|Artificial intelligence|Natural language processing|Quantum computing,reject,Consectetur voluptatem adipisci ut sed numquam non.,reject,Sit dolor quisquam quisquam eius tempora etincidunt.,Short Paper,Computer networks|Cryptography|Human-computer interaction|Cybersecurity
9,10,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0244-12-93-165,2019-10-25,December,,,,,,,,informal,,,MetaObject Protocol Concepts for a RISC Object Model.,,,db/journals/gtelab/index.html#TR-0244-12-93-165,GTE Laboratories Incorporated TR-0244-12-93-165,1993,Angie A. Kehagia|Petra Steffens,Jaakko Peltonen|Andreas Köhler|Anthony J. Hayter|Raquel Urtasun,Artificial intelligence|High-performance computing|Computer vision,Anthony J. Hayter,Robotics|Deep learning|Computer graphics|Natural language processing,accept,Dolor voluptatem magnam amet velit magnam quisquam.,reject,Numquam amet etincidunt est amet voluptatem etincidunt.,Short Paper,Computer vision|Cloud computing|Information theory|Computer graphics
